"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Butcher","Novice",1,100,40,FALSE,NA,NA,"Coal",15,TRUE,1,NA,NA,16,"Low",2
2,"Butcher","Novice",2,25,40,TRUE,5,5,NA,NA,FALSE,NA,"Iron Helmet",1,12,"High",1
3,"Butcher","Novice",2,25,40,TRUE,9,9,NA,NA,FALSE,NA,"Iron Chestplate",1,12,"High",1
4,"Butcher","Novice",2,25,40,TRUE,7,7,NA,NA,FALSE,NA,"Iron Leggings",1,12,"High",1
5,"Butcher","Novice",2,25,40,TRUE,4,4,NA,NA,FALSE,NA,"Iron Boots",1,12,"High",1
6,"Butcher","Apprentice",3,100,50,FALSE,NA,NA,"Iron Ingot",4,TRUE,1,NA,NA,12,"Low",10
7,"Butcher","Apprentice",4,33,50,TRUE,36,36,NA,NA,FALSE,NA,"Bell",1,12,"High",5
8,"Butcher","Apprentice",4,33,50,TRUE,3,3,NA,NA,FALSE,NA,"Chainmail Leggings",1,12,"High",5
9,"Butcher","Apprentice",4,33,50,TRUE,1,1,NA,NA,FALSE,NA,"Chainmail Boots",1,12,"High",5
10,"Butcher","Journeyman",5,100,40,FALSE,NA,NA,"Lava Bucket",1,TRUE,1,NA,NA,12,"Low",20
11,"Butcher","Journeyman",6,100,40,FALSE,NA,NA,"Diamond",1,TRUE,1,NA,NA,12,"Low",20
12,"Butcher","Journeyman",7,33,40,TRUE,1,1,NA,NA,FALSE,NA,"Chainmail Helmet",1,12,"High",10
13,"Butcher","Journeyman",7,33,40,TRUE,4,4,NA,NA,FALSE,NA,"Chainmail Chestplate",1,12,"High",10
14,"Butcher","Journeyman",7,33,40,TRUE,5,5,NA,NA,FALSE,NA,"Shield",1,12,"High",10
15,"Butcher","Expert",8,50,100,TRUE,19,33,NA,NA,FALSE,NA,"Enchanted Diamond Leggings",1,3,"High",15
16,"Butcher","Expert",8,50,100,TRUE,13,27,NA,NA,FALSE,NA,"Enchanted Diamond Boots",1,3,"High",15
17,"Butcher","Master",9,50,100,TRUE,13,27,NA,NA,FALSE,NA,"Enchanted Diamond Helmet",1,3,"High",30
18,"Butcher","Master",9,50,100,TRUE,21,35,NA,NA,FALSE,NA,"Enchanted Diamond Chestplate",1,3,"High",30
